AnoMesDia,Instancia,DataSource,QtdConexoesCriadasDia
20241209,srvpje1goutjb15,JFRR,0
20241209,srvpje1goutjb15,JFTO,0
20241209,srvpje1goutjb15,MBA,0
20241209,srvpje1goutjb15,PSS,0
20241209,srvpje1goutjb15,PjeDS,6604
20241209,srvpje1goutjb15,PjeDspace,0
20241209,srvpje1goutjb15,PjeLogDS,76
20241209,srvpje1goutjb15,STM,0
20241209,srvpje1goutjb15,TBT,0
20241209,srvpje1goutjb15,TRF1,0
20241209,srvpje1goutjb15,UBE,0
20241209,srvpje1goutjb15,UDI,0
20241209,srvpje1goutjb16,ILS,0
20241209,srvpje1goutjb16,ITZ,0
20241209,srvpje1goutjb16,JFAC,0
20241209,srvpje1goutjb16,JFAM,0
20241209,srvpje1goutjb16,JFAP2,0
20241209,srvpje1goutjb16,JFAP,0
20241209,srvpje1goutjb16,JFBA,0
20241209,srvpje1goutjb16,JFDF,0
20241209,srvpje1goutjb16,JFGO,0
20241209,srvpje1goutjb16,JFMA,0
20241209,srvpje1goutjb16,JFMG,0
20241209,srvpje1goutjb16,JFMT,0
20241209,srvpje1goutjb16,JFO,0
20241209,srvpje1goutjb16,JFPA,0
20241209,srvpje1goutjb16,JFPI,0
20241209,srvpje1goutjb16,JFRO,0
20241209,srvpje1goutjb16,JFRR,0
20241209,srvpje1goutjb16,JFTO,0
20241209,srvpje1goutjb16,MBA,0
20241209,srvpje1goutjb16,PSS,0
20241209,srvpje1goutjb16,PjeDS,6716
20241209,srvpje1goutjb16,PjeDspace,0
20241209,srvpje1goutjb16,PjeLogDS,87
20241209,srvpje1goutjb16,STM,0
20241209,srvpje1goutjb16,TBT,0
20241209,srvpje1goutjb16,TRF1,0
20241209,srvpje1goutjb16,UBE,0
20241209,srvpje1goutjb16,UDI,0
20241209,srvpje1goutjb17,ILS,0
20241209,srvpje1goutjb17,ITZ,0
20241209,srvpje1goutjb17,JFAC,0
20241209,srvpje1goutjb17,JFAM,0
20241209,srvpje1goutjb17,JFAP2,0
20241209,srvpje1goutjb17,JFAP,0
20241209,srvpje1goutjb17,JFBA,0
20241209,srvpje1goutjb17,JFDF,0
20241209,srvpje1goutjb17,JFGO,0
20241209,srvpje1goutjb17,JFMA,0
20241209,srvpje1goutjb17,JFMG,0
20241209,srvpje1goutjb17,JFMT,0
20241209,srvpje1goutjb17,JFO,0
20241209,srvpje1goutjb17,JFPA,0
20241209,srvpje1goutjb17,JFPI,0
20241209,srvpje1goutjb17,JFRO,0
20241209,srvpje1goutjb17,JFRR,0
20241209,srvpje1goutjb17,JFTO,0
20241209,srvpje1goutjb17,MBA,0
20241209,srvpje1goutjb17,PSS,0
20241209,srvpje1goutjb17,PjeDS,6560
20241209,srvpje1goutjb17,PjeDspace,0
20241209,srvpje1goutjb17,PjeLogDS,86
20241209,srvpje1goutjb17,STM,0
20241209,srvpje1goutjb17,TBT,0
20241209,srvpje1goutjb17,TRF1,0
20241209,srvpje1goutjb17,UBE,0
20241209,srvpje1goutjb17,UDI,0
20241209,srvpje1goutjb18,ILS,0
20241209,srvpje1goutjb18,ITZ,0
20241209,srvpje1goutjb18,JFAC,0
20241209,srvpje1goutjb18,JFAM,0
20241209,srvpje1goutjb18,JFAP2,0
20241209,srvpje1goutjb18,JFAP,0
